Returned,Order ID
Yes,CA-2019-100762
Yes,CA-2019-100762
Yes,CA-2019-100762
Yes,CA-2019-100762
Yes,CA-2019-100867
Yes,CA-2019-102652
Yes,CA-2019-102652
Yes,CA-2019-102652
Yes,CA-2019-102652
Yes,CA-2019-103373
Yes,CA-2019-103744
Yes,CA-2019-103744
Yes,CA-2019-103940
Yes,CA-2019-103940
Yes,CA-2019-103940
Yes,CA-2019-103940
Yes,CA-2019-104829
Yes,CA-2019-105270
Yes,CA-2019-105270
Yes,CA-2019-108609
Yes,CA-2019-108861
Yes,CA-2019-109918
Yes,CA-2019-109918
Yes,CA-2019-109918
Yes,CA-2019-110786
Yes,CA-2019-110786
Yes,CA-2019-110786
Yes,CA-2019-110786
Yes,CA-2019-110786
Yes,CA-2019-110786
Yes,CA-2019-110786
Yes,CA-2019-111871
Yes,CA-2019-116785
Yes,CA-2019-116785
Yes,CA-2019-123225
Yes,CA-2019-123225
Yes,CA-2019-123253
Yes,CA-2019-123498
Yes,CA-2019-123498
Yes,CA-2019-124688
Yes,CA-2019-124688
Yes,CA-2019-124688
Yes,CA-2019-126361
Yes,CA-2019-126361
Yes,CA-2019-126361
Yes,CA-2019-126361
Yes,CA-2019-126361
Yes,CA-2019-126361
Yes,CA-2019-126403
Yes,CA-2019-126403
Yes,CA-2019-126403
Yes,CA-2019-126403
Yes,CA-2019-126522
Yes,CA-2019-127012
Yes,CA-2019-127012
Yes,CA-2019-127012
Yes,CA-2019-127131
Yes,CA-2019-127131
Yes,CA-2019-127131
Yes,CA-2019-127131
Yes,CA-2019-133690
Yes,CA-2019-133690
Yes,CA-2019-134726
Yes,CA-2019-134726
Yes,CA-2019-135657
Yes,CA-2019-135699
Yes,CA-2019-135699
Yes,CA-2019-140816
Yes,CA-2019-141726
Yes,CA-2019-141726
Yes,CA-2019-141726
Yes,CA-2019-141726
Yes,CA-2019-142769
Yes,CA-2019-142769
Yes,CA-2019-142769
Yes,CA-2019-142769
Yes,CA-2019-142769
Yes,CA-2019-142769
Yes,CA-2019-142769
Yes,CA-2019-142769
Yes,CA-2019-143336
Yes,CA-2019-143336
Yes,CA-2019-143336
Yes,CA-2019-143840
Yes,CA-2019-143840
Yes,CA-2019-148614
Yes,CA-2019-148614
Yes,CA-2019-148950
Yes,CA-2019-148950
Yes,CA-2019-148950
Yes,CA-2019-151162
Yes,CA-2019-151162
Yes,CA-2019-151162
Yes,CA-2019-151162
Yes,CA-2019-151162
Yes,CA-2019-152345
Yes,CA-2019-152345
Yes,CA-2019-153150
Yes,CA-2019-156349
Yes,CA-2019-156349
Yes,CA-2019-156349
Yes,CA-2019-157924
Yes,CA-2019-157924
Yes,CA-2019-159338
Yes,CA-2019-160766
Yes,CA-2019-160766
Yes,CA-2019-160766
Yes,CA-2019-160766
Yes,CA-2019-160766
Yes,CA-2019-160766
Yes,CA-2019-160766
Yes,CA-2019-160773
Yes,CA-2019-160773
Yes,CA-2019-164721
Yes,CA-2019-164721
Yes,CA-2019-164721
Yes,CA-2019-164861
Yes,CA-2019-166744
Yes,CA-2019-166744
Yes,CA-2019-166744
Yes,CA-2019-169019
Yes,CA-2019-169019
Yes,CA-2019-169019
Yes,CA-2019-169019
Yes,CA-2019-169019
Yes,CA-2019-169019
Yes,CA-2020-101910
Yes,CA-2020-103716
Yes,CA-2020-103716
Yes,CA-2020-104129
Yes,CA-2020-104129
Yes,CA-2020-105158
Yes,CA-2020-105158
Yes,CA-2020-107678
Yes,CA-2020-107678
Yes,CA-2020-107678
Yes,CA-2020-107678
Yes,CA-2020-109736
Yes,CA-2020-110814
Yes,CA-2020-110814
Yes,CA-2020-110814
Yes,CA-2020-111948
Yes,CA-2020-111948
Yes,CA-2020-112144
Yes,CA-2020-112144
Yes,CA-2020-113628
Yes,CA-2020-113628
Yes,CA-2020-113628
Yes,CA-2020-113628
Yes,CA-2020-113628
Yes,CA-2020-113628
Yes,CA-2020-114048
Yes,CA-2020-116092
Yes,CA-2020-116092
Yes,CA-2020-116092
Yes,CA-2020-116092
Yes,CA-2020-116092
Yes,CA-2020-119214
Yes,CA-2020-119214
Yes,CA-2020-119907
Yes,CA-2020-123568
Yes,CA-2020-123568
Yes,CA-2020-123568
Yes,CA-2020-123568
Yes,CA-2020-124058
Yes,CA-2020-124058
Yes,CA-2020-130456
Yes,CA-2020-130456
Yes,CA-2020-130785
Yes,CA-2020-130785
Yes,CA-2020-130785
Yes,CA-2020-132374
Yes,CA-2020-132941
Yes,CA-2020-132941
Yes,CA-2020-132941
Yes,CA-2020-134075
Yes,CA-2020-134075
Yes,CA-2020-134201
Yes,CA-2020-134201
Yes,CA-2020-135580
Yes,CA-2020-135580
Yes,CA-2020-135580
Yes,CA-2020-135580
Yes,CA-2020-135580
Yes,CA-2020-138674
Yes,CA-2020-138674
Yes,CA-2020-138674
Yes,CA-2020-139731
Yes,CA-2020-139731
Yes,CA-2020-140984
Yes,CA-2020-140984
Yes,CA-2020-140984
Yes,CA-2020-141593
Yes,CA-2020-141593
Yes,CA-2020-141593
Yes,CA-2020-141593
Yes,CA-2020-142601
Yes,CA-2020-142601
Yes,CA-2020-143238
Yes,CA-2020-143490
Yes,CA-2020-143490
Yes,CA-2020-143602
Yes,CA-2020-144267
Yes,CA-2020-144267
Yes,CA-2020-144267
Yes,CA-2020-144267
Yes,CA-2020-146255
Yes,CA-2020-146255
Yes,CA-2020-146255
Yes,CA-2020-146255
Yes,CA-2020-146262
Yes,CA-2020-146262
Yes,CA-2020-146262
Yes,CA-2020-146262
Yes,CA-2020-146262
Yes,CA-2020-146486
Yes,CA-2020-146486
Yes,CA-2020-146486
Yes,CA-2020-146486
Yes,CA-2020-148873
Yes,CA-2020-148873
Yes,CA-2020-149342
Yes,CA-2020-149342
Yes,CA-2020-149342
Yes,CA-2020-149636
Yes,CA-2020-149636
Yes,CA-2020-149650
Yes,CA-2020-150770
Yes,CA-2020-150770
Yes,CA-2020-150770
Yes,CA-2020-150770
Yes,CA-2020-150875
Yes,CA-2020-150875
Yes,CA-2020-151547
Yes,CA-2020-153220
Yes,CA-2020-154970
Yes,CA-2020-155761
Yes,CA-2020-155761
Yes,CA-2020-156440
Yes,CA-2020-157770
Yes,CA-2020-157770
Yes,CA-2020-157770
Yes,CA-2020-157770
Yes,CA-2020-157812
Yes,CA-2020-157812
Yes,CA-2020-157812
Yes,CA-2020-161627
Yes,CA-2020-162166
Yes,CA-2020-162166
Yes,CA-2020-164882
Yes,CA-2020-164882
Yes,CA-2020-164882
Yes,CA-2020-164882
Yes,CA-2020-164882
Yes,CA-2020-164882
Yes,CA-2020-164882
Yes,CA-2020-164882
Yes,CA-2020-164882
Yes,CA-2020-168480
Yes,CA-2020-168480
Yes,CA-2020-168564
Yes,CA-2020-168564
Yes,CA-2020-168564
Yes,CA-2020-169397
Yes,CA-2020-169397
Yes,CA-2020-169397
Yes,CA-2020-169397
Yes,CA-2020-169397
Yes,CA-2020-169397
Yes,CA-2021-104689
Yes,CA-2021-105081
Yes,CA-2021-105081
Yes,CA-2021-105291
Yes,CA-2021-105585
Yes,CA-2021-105585
Yes,CA-2021-106950
Yes,CA-2021-106950
Yes,CA-2021-106950
Yes,CA-2021-106950
Yes,CA-2021-106950
Yes,CA-2021-106950
Yes,CA-2021-109806
Yes,CA-2021-109806
Yes,CA-2021-109806
Yes,CA-2021-109869
Yes,CA-2021-109869
Yes,CA-2021-109869
Yes,CA-2021-109869
Yes,CA-2021-109869
Yes,CA-2021-111682
Yes,CA-2021-111682
Yes,CA-2021-111682
Yes,CA-2021-111682
Yes,CA-2021-111682
Yes,CA-2021-111682
Yes,CA-2021-111682
Yes,CA-2021-112123
Yes,CA-2021-112123
Yes,CA-2021-112123
Yes,CA-2021-112340
Yes,CA-2021-113341
Yes,CA-2021-114307
Yes,CA-2021-114307
Yes,CA-2021-114307
Yes,CA-2021-114307
Yes,CA-2021-114727
Yes,CA-2021-114727
Yes,CA-2021-114727
Yes,CA-2021-114727
Yes,CA-2021-114727
Yes,CA-2021-115917
Yes,CA-2021-115917
Yes,CA-2021-116547
Yes,CA-2021-116547
Yes,CA-2021-116736
Yes,CA-2021-116736
Yes,CA-2021-116736
Yes,CA-2021-118311
Yes,CA-2021-118500
Yes,CA-2021-118899
Yes,CA-2021-120873
Yes,CA-2021-123526
Yes,CA-2021-124527
Yes,CA-2021-126529
Yes,CA-2021-126529
Yes,CA-2021-126529
Yes,CA-2021-126732
Yes,CA-2021-126732
Yes,CA-2021-126732
Yes,CA-2021-126732
Yes,CA-2021-126732
Yes,CA-2021-126732
Yes,CA-2021-128671
Yes,CA-2021-128671
Yes,CA-2021-128671
Yes,CA-2021-130477
Yes,CA-2021-130477
Yes,CA-2021-130477
Yes,CA-2021-130638
Yes,CA-2021-130638
Yes,CA-2021-130680
Yes,CA-2021-133319
Yes,CA-2021-133368
Yes,CA-2021-133368
Yes,CA-2021-133802
Yes,CA-2021-134775
Yes,CA-2021-134775
Yes,CA-2021-134803
Yes,CA-2021-134803
Yes,CA-2021-134803
Yes,CA-2021-134803
Yes,CA-2021-134803
Yes,CA-2021-136483
Yes,CA-2021-136924
Yes,CA-2021-138282
Yes,CA-2021-139269
Yes,CA-2021-139269
Yes,CA-2021-139269
Yes,CA-2021-142398
Yes,CA-2021-142398
Yes,CA-2021-145261
Yes,CA-2021-145261
Yes,CA-2021-145261
Yes,CA-2021-145261
Yes,CA-2021-145261
Yes,CA-2021-145261
Yes,CA-2021-145261
Yes,CA-2021-145492
Yes,CA-2021-145583
Yes,CA-2021-145583
Yes,CA-2021-145583
Yes,CA-2021-145583
Yes,CA-2021-145583
Yes,CA-2021-145583
Yes,CA-2021-145583
Yes,CA-2021-145919
Yes,CA-2021-145919
Yes,CA-2021-145919
Yes,CA-2021-145982
Yes,CA-2021-145982
Yes,CA-2021-145982
Yes,CA-2021-145982
Yes,CA-2021-145982
Yes,CA-2021-145982
Yes,CA-2021-147375
Yes,CA-2021-147375
Yes,CA-2021-148796
Yes,CA-2021-150077
Yes,CA-2021-151323
Yes,CA-2021-151372
Yes,CA-2021-151372
Yes,CA-2021-151372
Yes,CA-2021-152814
Yes,CA-2021-157280
Yes,CA-2021-157280
Yes,CA-2021-157280
Yes,CA-2021-159023
Yes,CA-2021-159023
Yes,CA-2021-159212
Yes,CA-2021-159212
Yes,CA-2021-159345
Yes,CA-2021-161746
Yes,CA-2021-161746
Yes,CA-2021-161746
Yes,CA-2021-161746
Yes,CA-2021-162138
Yes,CA-2021-162138
Yes,CA-2021-162159
Yes,CA-2021-165330
Yes,CA-2021-165330
Yes,CA-2021-165330
Yes,CA-2021-165330
Yes,CA-2021-165330
Yes,CA-2021-165330
Yes,CA-2021-165330
Yes,CA-2021-165330
Yes,CA-2021-165330
Yes,CA-2021-165330
Yes,CA-2021-165330
Yes,CA-2021-166275
Yes,CA-2021-167759
Yes,CA-2021-168921
Yes,CA-2022-100111
Yes,CA-2022-100111
Yes,CA-2022-100111
